Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,30960,2,2,76,300,38,38,38.0,0.0,150,150,150.0,0.0,12144.70284,129.1989664,10320.0,17859.17688,30942,3,15,15.0,0.0,15,15,3,3.0,0.0,3,3,0,0,0,0,40,40,64.5994832,64.5994832,38,150,82.8,61.34492644,3763.2,0,0,0,0,0,0,0,0,1,103.5,38.0,150.0,40,0,0,0,0,0,0,2,76,2,300,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5613899,11,15,873,15455,469,0,79.36363636,152.5032936,2701,0,1030.333333,777.020653,2908.495504,4.631362267,224555.96,968837.8233,4867281,3,746618,74661.8,69792.75477,142514,215,5475796,391128.2857,1290237.958,4867355,47,0,0,0,0,360,488,1.959422498,2.671939769,0,2701,604.7407407,754.5785167,569388.7379,0,0,0,1,0,0,0,0,1,628.0,79.36363636,1030.333333,360,0,0,0,0,0,0,11,873,15,15455,29200,18,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
63734,36,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,333333.333333333,55555.5555555556,36.0,0.0,36,36,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,27777.7777777778,27777.7777777778,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,5840,64240,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,3480379,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,3.447900358,0.5746500597,3480379.0,0.0,3480379,3480379,3480379,3480379.0,0.0,3480379,3480379,0,0.0,0.0,0,0,0,0,0,0,40,0,0.5746500597,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,257,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,29,2,0,37,0,37,0,18.5,26.1629509039,0,0,0.0,0.0,1275862.06896552,68965.5172413793,29.0,0.0,29,29,29,29.0,0.0,29,29,0,0.0,0.0,0,0,1,0,0,0,64,0,68965.5172413793,0.0,0,37,24.6666666667,21.36195996,456.3333333333,0,1,0,0,1,0,0,0,0,37.0,18.5,0.0,64,0,0,0,0,0,0,2,37,0,0,32853,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,85037293,9,7,415,11595,415,0,46.11111111,138.3333333,5792,0,1656.428571,1947.638216,141.2321533,0.188152744,5669152.867,21900000.0,84900000,1,84900000,10600000.0,30000000.0,84900000,1,150638,25106.33333,55528.69471,138029,46,0,0,0,0,296,232,0.105835918,0.082316825,0,5792,706.4705882,1450.292432,2103348.14,0,0,0,0,1,0,0,0,0,750.625,46.11111111,1656.428571,296,0,0,0,0,0,0,9,415,7,11595,251,235,1,32,1015.0,0.0,1015,1015,84900000.0,0.0,84900000,84900000,DoS Hulk
53,240,2,2,78,234,39,39,39.0,0.0,117,117,117.0,0.0,1300000.0,16666.66667,80.0,98.23950326,190,1,1,1.0,0.0,1,1,49,49.0,0.0,49,49,0,0,0,0,64,64,8333.333333,8333.333333,39,117,70.2,42.72235949,1825.2,0,0,0,0,0,0,0,0,1,87.75,39.0,117.0,64,0,0,0,0,0,0,2,78,2,234,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,11561386,5,4,344,3525,344,0,68.8,153.8414769,3525,0,881.25,1762.5,334.6484582,0.778453379,1445173.25,2707222.499,6559389,19,6562787,1640696.75,3280634.17,6561648,232,11600000,3853789.0,3426502.377,6559389,846,0,0,0,0,168,136,0.4324741,0.34597928,0,3525,386.9,1107.90317,1227449.433,0,0,0,1,0,0,0,0,0,429.8888889,68.8,881.25,168,0,0,0,0,0,0,5,344,4,3525,29200,235,1,32,865.0,0.0,865,865,6559389.0,0.0,6559389,6559389,DoS GoldenEye
1953,21411,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,560.4595769,93.40992948,21411.0,0.0,21411,21411,21411,21411.0,0.0,21411,21411,0,0.0,0.0,0,0,0,0,0,0,40,0,93.40992948,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,946,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
8080,1029524,3,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,17.48380805,5.827936017,205904.8,281040.7391,515007,593,1028753,514376.5,1774.130914,515631,513122,1028931,514465.5,1856.155301,515778,513153,0,0,0,0,92,60,2.913968009,2.913968009,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0.0,0.0,0,0,0.0,0.0,0,0,Bot
80,5365520,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.745500902,1788506.667,3097026.661,5364645,111,5365520,2682760.0,3792758.14,5364645,875,0,0.0,0.0,0,0,0,0,0,0,104,40,0.559125677,0.186375226,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack - XSS
80,27236,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,440.5933323542,73.432222059,27236.0,0.0,27236,27236,27236,27236.0,0.0,27236,27236,0,0.0,0.0,0,0,0,0,0,0,40,0,73.432222059,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,252,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,398479,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,7.5286276065,199239.5,221122.897078751,355597,42882,398479,199239.5,221122.897078751,355597,42882,0,0.0,0.0,0,0,0,0,0,0,96,0,7.5286276065,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,352224,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,5.678204779,352224.0,0.0,352224,352224,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,2.839102389,2.839102389,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,908,520,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,185,2,2,84,204,42,42,42.0,0.0,102,102,102.0,0.0,1556756.757,21621.62162,61.66666667,101.6136474,179,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,80,80,10810.81081,10810.81081,42,102,66.0,32.86335345,1080.0,0,0,0,0,0,0,0,0,1,82.5,42.0,102.0,80,0,0,0,0,0,0,2,84,2,204,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5603230,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.713873962,1867743.333,3234423.599,5602534,191,5603230,2801615.0,3961097.637,5602534,696,0,0.0,0.0,0,0,0,0,0,0,104,40,0.535405471,0.17846849,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack - Brute Force
80,8507153,7,5,50,11601,20,0,7.142857143,6.094494002,5840,0,2320.2,2634.749552,1369.553363,1.410577663,773377.5455,2399617.137,7996093,1,8470664,1411777.333,3231126.054,7996093,1,39147,9786.75,17530.86458,35997,46,0,0,0,0,152,112,0.82283697,0.587740693,0,5840,896.6923077,1919.898755,3686011.231,0,0,0,0,1,0,0,0,0,971.4166667,7.142857143,2320.2,152,0,0,0,0,0,0,7,50,5,11601,256,229,5,20,471895.0,0.0,471895,471895,7996093.0,0.0,7996093,7996093,DDoS
80,3002564,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.999146063,1501282.0,710944.9568,2003996,998568,3002564,1501282.0,710944.9568,2003996,998568,0,0.0,0.0,0,0,0,0,0,0,120,0,0.999146063,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
53,39717420,2,2,96,271,53,43,48.0,7.071067812,166,105,135.5,43.13351365,9.240277944,0.100711476,13200000.0,22900000.0,39600000,23741,39700000,39700000.0,0.0,39700000,39700000,39700000,39700000.0,0.0,39700000,39700000,0,0,0,0,52,40,0.050355738,0.050355738,43,166,82.0,53.54437412,2867.0,0,0,0,0,0,0,0,0,1,102.5,48.0,135.5,52,0,0,0,0,0,0,2,96,2,271,-1,-1,1,20,23741.0,0.0,23741,23741,39600000.0,0.0,39600000,39600000,BENIGN
22,10910482,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,435.6361158,4.857713894,209816.9615,570819.5949,2085429,4,8902816,445140.8,795793.0551,2132334,328,10900000,351947.129,708746.3498,2085429,4,0,0,0,0,680,1032,1.924754562,2.932959332,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
53,111287900,3,3,149,262,55,43,49.66666667,6.110100927,120,67,87.33333333,28.57154762,3.693123871,0.053914217,22300000.0,48100000.0,108000000,30455,111000000,55600000.0,74400000.0,108000000,3019680,111000000,55600000.0,74400000.0,108000000,2989884,0,0,0,0,60,60,0.026957109,0.026957109,43,120,64.85714286,27.05813846,732.1428571,0,0,0,0,0,0,0,0,1,75.66666667,49.66666667,87.33333333,60,0,0,0,0,0,0,3,149,3,262,-1,-1,2,20,3050135.0,0.0,3050135,3050135,108000000.0,0.0,108000000,108000000,BENIGN
80,84292229,9,5,374,11595,356,0,41.55555556,117.9524386,7240,0,2319.0,3003.171157,141.9941096,0.166088857,6484017.615,23300000.0,84100000,1,84200000,10500000.0,29700000.0,84100000,1,152571,38142.75,66335.72198,137097,199,0,0,0,0,260,168,0.106771408,0.059317449,0,7240,797.9333333,1955.602445,3824380.924,0,0,0,0,1,0,0,0,0,854.9285714,41.55555556,2319.0,260,0,0,0,0,0,0,9,374,5,11595,274,235,4,20,2975.0,0.0,2975,2975,84100000.0,0.0,84100000,84100000,DoS Hulk
80,5158638,2,1,12,0,6,6,6.0,0.0,0,0,0.0,0.0,2.3261954027,0.5815488507,2579319.0,3615263.02393865,5135696,22942,5158638,5158638.0,0.0,5158638,5158638,0,0.0,0.0,0,0,0,0,0,0,40,32,0.3876992338,0.1938496169,0,6,4.5,3.0,9.0,0,0,0,0,1,0,0,0,0,6.0,6.0,0.0,40,0,0,0,0,0,0,2,12,1,0,253,1013,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
44312,22,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,90909.09091,22.0,0.0,22,22,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,45454.54545,45454.54545,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,358,332,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
4080,93,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,129032.2581,21505.37634,93.0,0.0,93,93,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,10752.68817,10752.68817,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Bot
51813,70,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,171428.5714,28571.42857,70.0,0.0,70,70,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,14285.71429,14285.71429,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,38796,63475,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
